iter	Passed	Remaining
637	5646	3203
638	5651	3193
639	5661	3184
640	5672	3176
641	5681	3168
642	5689	3158
643	5699	3150
644	5710	3143
645	5721	3135
646	5730	3126
647	5741	3118
648	5747	3108
649	5761	3102
650	5774	3095
651	5780	3085
652	5790	3076
653	5801	3069
654	5811	3060
655	5822	3053
656	5831	3044
657	5843	3037
658	5849	3026
659	5857	3017
660	5867	3009
661	5876	3000
662	5883	2990
663	5894	2982
664	5906	2975
665	5915	2966
666	5925	2958
667	5935	2949
668	5942	2939
669	5953	2932
670	5970	2927
671	5996	2927
672	6021	2925
673	6042	2922
674	6060	2918
675	6071	2910
676	6081	2901
677	6108	2901
678	6119	2892
679	6130	2884
680	6139	2876
681	6145	2865
682	6158	2858
683	6170	2850
684	6178	2840
685	6192	2834
686	6202	2825
687	6208	2815
688	6218	2807
689	6228	2798
690	6236	2788
691	6242	2778
692	6254	2770
693	6263	2761
694	6269	2751
695	6274	2740
696	6282	2731
697	6290	2721
698	6301	2713
699	6310	2704
700	6323	2697
701	6334	2688
702	6341	2678
703	6352	2671
704	6362	2662
705	6369	2652
706	6375	2642
707	6384	2633
708	6391	2623
709	6398	2613
710	6404	2603
711	6413	2594
712	6420	2584
713	6428	2575
714	6434	2564
715	6443	2555
716	6451	2546
717	6460	2537
718	6466	2527
719	6473	2517
720	6481	2507
721	6488	2498
722	6497	2489
723	6504	2479
724	6514	2470
725	6523	2461
726	6529	2451
727	6535	2441
728	6546	2433
729	6555	2424
730	6561	2414
731	6567	2404
732	6575	2395
733	6584	2386
734	6592	2376
735	6598	2366
736	6608	2358
737	6618	2349
738	6626	2340
739	6633	2330
740	6642	2321
741	6649	2312
742	6656	2302
743	6662	2292
744	6669	2282
745	6677	2273
746	6684	2263
747	6690	2254
748	6697	2244
749	6704	2234
750	6711	2225
751	6718	2215
752	6724	2205
753	6730	2195
754	6737	2186
755	6745	2177
756	6751	2167
757	6757	2157
758	6763	2147
759	6770	2138
760	6777	2128
761	6783	2118
762	6790	2109
763	6794	2098
764	6802	2089
765	6811	2080
766	6819	2071
767	6826	2062
768	6833	2052
769	6841	2043
770	6848	2034
771	6854	2024
772	6860	2014
773	6866	2004
774	6876	1996
775	6886	1987
776	6893	1978
777	6902	1969
778	6910	1960
779	6917	1951
780	6923	1941
781	6931	1932
782	6944	1924
783	6952	1915
784	6960	1906
785	6968	1897
786	6977	1888
787	6983	1878
788	6989	1869
789	6996	1859
790	7004	1850
791	7011	1841
792	7018	1832
793	7025	1822
794	7033	1813
795	7040	1804
796	7047	1794
797	7054	1785
798	7062	1776
799	7068	1767
800	7077	1758
801	7083	1748
802	7089	1739
803	7095	1729
804	7101	1720
805	7107	1710
806	7114	1701
807	7123	1692
808	7131	1683
809	7139	1674
810	7146	1665
811	7152	1655
812	7161	1647
813	7170	1638
814	7180	1629
815	7186	1620
816	7196	1611
817	7203	1602
818	7211	1593
819	7217	1584
820	7225	1575
821	7233	1566
822	7241	1557
823	7250	1548
824	7259	1539
825	7270	1531
826	7278	1522
827	7285	1513
828	7295	1504
829	7304	1496
830	7310	1486
831	7316	1477
832	7325	1468
833	7333	1459
834	7340	1450
835	7345	1441
836	7353	1432
837	7363	1423
838	7370	1414
839	7376	1405
840	7382	1395
841	7390	1386
842	7400	1378
843	7406	1368
844	7412	1359
845	7422	1351
846	7431	1342
847	7438	1333
848	7445	1324
849	7452	1315
850	7462	1306
851	7470	1297
852	7477	1288
853	7491	1280
854	7504	1272
855	7512	1263
856	7522	1255
857	7533	1246
858	7543	1238
859	7559	1230
860	7568	1221
861	7576	1212
862	7584	1204
863	7600	1196
864	7609	1187
865	7624	1179
866	7637	1171
867	7646	1162
868	7657	1154
869	7666	1145
870	7675	1136
871	7687	1128
872	7696	1119
873	7706	1111
874	7720	1102
875	7731	1094
876	7744	1086
877	7758	1078
878	7767	1069
879	7776	1060
880	7789	1052
881	7799	1043
882	7808	1034
883	7817	1025
884	7829	1017
885	7840	1008
886	7851	1000
887	7865	992
888	7875	983
889	7883	974
890	7892	965
891	7900	956
892	7909	947
893	7922	939
894	7933	930
895	7939	921
896	7948	912
897	7965	904
898	7973	895
899	7981	886
900	7991	878
901	8000	869
902	8007	860
903	8015	851
904	8025	842
905	8036	833
906	8046	825
907	8056	816
908	8064	807
909	8074	798
910	8081	789
911	8094	781
912	8102	772
913	8111	763
914	8122	754
915	8130	745
916	8138	736
917	8157	728
918	8165	719
919	8175	710
920	8187	702
921	8195	693
922	8202	684
923	8212	675
924	8222	666
925	8229	657
926	8239	648
927	8249	640
928	8256	630
929	8265	622
930	8274	613
931	8283	604
932	8292	595
933	8301	586
934	8310	577
935	8322	569
936	8333	560
937	8341	551
938	8351	542
939	8363	533
940	8374	525
941	8384	516
942	8391	507
943	8399	498
944	8412	489
945	8418	480
946	8427	471
947	8433	462
948	8446	453
949	8454	444
950	8461	435
951	8469	427
952	8481	418
953	8490	409
954	8497	400
955	8510	391
956	8517	382
957	8525	373
958	8536	364
959	8551	356
960	8559	347
961	8571	338
962	8581	329
963	8594	320
964	8600	311
965	8613	303
966	8623	294
967	8631	285
968	8641	276
969	8649	267
970	8658	258
971	8664	249
972	8676	240
973	8687	231
974	8694	222
975	8705	214
976	8711	205
977	8721	196
978	8731	187
979	8743	178
980	8754	169
981	8763	160
982	8775	151
983	8785	142
984	8793	133
985	8812	125
986	8825	116
987	8833	107
988	8843	98
989	8853	89
990	8861	80
991	8876	71
992	8886	62
993	8894	53
994	8903	44
995	8916	35
996	8924	26
997	8937	17
998	8945	8
999	8954	0
